模块名,类名,方法名,函数,类型,SysCap,权限,支持起始版本,访问级别,是否为卡片,是否支持跨平台
ohos.ability.particleAbility,particleAbility,startBackgroundRunning,"function startBackgroundRunning(id: number, request: NotificationRequest, callback: AsyncCallback<void>): void;",Method,SystemCapability.ResourceSchedule.BackgroundTaskManager.ContinuousTask,ohos.permission.KEEP_BACKGROUND_RUNNING,7,,否,否
ohos.ability.particleAbility,particleAbility,startBackgroundRunning,"function startBackgroundRunning(id: number, request: NotificationRequest): Promise<void>;",Method,SystemCapability.ResourceSchedule.BackgroundTaskManager.ContinuousTask,ohos.permission.KEEP_BACKGROUND_RUNNING,7,,否,否
ohos.ability.screenLockFileManager,screenLockFileManager,acquireAccess,function acquireAccess(dataType: DataType): AccessStatus;,Method,SystemCapability.Security.ScreenLockFileManager,ohos.permission.ACCESS_SCREEN_LOCK_MEDIA_DATA or ohos.permission.ACCESS_SCREEN_LOCK_ALL_DATA,12,,否,否
ohos.ability.screenLockFileManager,screenLockFileManager,releaseAccess,function releaseAccess(dataType: DataType): ReleaseStatus;,Method,SystemCapability.Security.ScreenLockFileManager,ohos.permission.ACCESS_SCREEN_LOCK_MEDIA_DATA or ohos.permission.ACCESS_SCREEN_LOCK_ALL_DATA,12,,否,否
ohos.abilityAccessCtrl,AtManager,grantUserGrantedPermission,"grantUserGrantedPermission(tokenID: number, permissionName: Permissions, permissionFlags: number): Promise<void>;",Method,SystemCapability.Security.AccessToken,ohos.permission.GRANT_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,grantUserGrantedPermission,"grantUserGrantedPermission(
      tokenID: number,
      permissionName: Permissions,
      permissionFlags: number,
      callback: AsyncCallback<void>
    ): void;",Method,SystemCapability.Security.AccessToken,ohos.permission.GRANT_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,revokeUserGrantedPermission,"revokeUserGrantedPermission(tokenID: number, permissionName: Permissions, permissionFlags: number): Promise<void>;",Method,SystemCapability.Security.AccessToken,ohos.permission.REVOKE_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,revokeUserGrantedPermission,"revokeUserGrantedPermission(
      tokenID: number,
      permissionName: Permissions,
      permissionFlags: number,
      callback: AsyncCallback<void>
    ): void;",Method,SystemCapability.Security.AccessToken,ohos.permission.REVOKE_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,getPermissionFlags,"getPermissionFlags(tokenID: number, permissionName: Permissions): Promise<number>;",Method,SystemCapability.Security.AccessToken,ohos.permission.GET_SENSITIVE_PERMISSIONS or ohos.permission.GRANT_SENSITIVE_PERMISSIONS or ohos.permission.REVOKE_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,setPermissionRequestToggleStatus,"setPermissionRequestToggleStatus(permissionName: Permissions, status: PermissionRequestToggleStatus): Promise<void>;",Method,SystemCapability.Security.AccessToken,ohos.permission.DISABLE_PERMISSION_DIALOG,12,,否,否
ohos.abilityAccessCtrl,AtManager,getPermissionRequestToggleStatus,getPermissionRequestToggleStatus(permissionName: Permissions): Promise<PermissionRequestToggleStatus>;,Method,SystemCapability.Security.AccessToken,ohos.permission.GET_SENSITIVE_PERMISSIONS,12,,否,否
ohos.abilityAccessCtrl,AtManager,getPermissionsStatus,"getPermissionsStatus(tokenID: number, permissionList: Array<Permissions>): Promise<Array<PermissionStatus>>;",Method,SystemCapability.Security.AccessToken,ohos.permission.GET_SENSITIVE_PERMISSIONS,12,,否,否
ohos.accessibility.config,config,enableAbility,"function enableAbility(name: string, capability: Array<accessibility.Capability>): Promise<void>;",Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,config,enableAbility,"function enableAbility(
    name: string,
    capability: Array<accessibility.Capability>,
    callback: AsyncCallback<void>
  ): void;",Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,config,disableAbility,function disableAbility(name: string): Promise<void>;,Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,config,disableAbility,"function disableAbility(name: string, callback: AsyncCallback<void>): void;",Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,Config,set,set(value: T): Promise<void>;,Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,Config,set,"set(value: T, callback: AsyncCallback<void>): void;",Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.account.appAccount,AppAccountManager,checkAppAccountSyncEnable,"checkAppAccountSyncEnable(name: string, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,7,,否,否
ohos.account.appAccount,AppAccountManager,checkAppAccountSyncEnable,checkAppAccountSyncEnable(name: string): Promise<boolean>;,Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,7,,否,否
ohos.account.appAccount,AppAccountManager,checkDataSyncEnabled,"checkDataSyncEnabled(name: string, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,9,,否,否
ohos.account.appAccount,AppAccountManager,checkDataSyncEnabled,checkDataSyncEnabled(name: string): Promise<boolean>;,Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,9,,否,否
ohos.account.appAccount,AppAccountManager,setAppAccountSyncEnable,"setAppAccountSyncEnable(name: string, isEnable: boolean, callback: AsyncCallback<void>): void;",Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,7,,否,否
